MAX_LENGTH,BATCH_SIZE,LEARNING_RATE,WEIGHT_DECAY,WARMUP_RATIO,DROPOUT,GRADIENT_CLIP,EPOCHS,EARLY_STOPPING_PATIENCE,W_F1,W_ASR,W_FRR,T_BLOCK,T_TRANSFORM,trial,val_f1,val_asr,val_frr,score,regex_f1,regex_asr,regex_frr,regex_score
256,4,3e-05,0.05,0.05,0.1,0.5,3,2,0.3,0.5,0.2,0.4,0.2,1,0.8989,0.0574,0.1,0.92097,0.8856,0.0574,0.12,0.91298
380,16,3e-05,0.01,0.05,0.3,1.0,3,3,0.3,0.5,0.2,0.7,0.3,2,0.8761,0.0656,0.13,0.90403,0.8575,0.123,0.11,0.87375
444,4,1e-05,0.05,0.05,0.1,1.0,3,3,0.3,0.5,0.2,0.7,0.4,3,0.8845,0.1311,0.05,0.8898,0.8643,0.1639,0.04,0.86934
256,8,1e-05,0.1,0.1,0.3,1.0,3,2,0.3,0.5,0.2,0.4,0.2,4,0.8449,0.0984,0.16,0.87227,0.8439,0.0902,0.16,0.87607
256,8,2e-05,0.05,0.1,0.1,1.0,5,2,0.3,0.5,0.2,0.8,0.4,5,0.8758,0.0656,0.12,0.90594,0.8734,0.0902,0.09,0.89892
380,4,2e-05,0.05,0.1,0.3,0.5,5,2,0.3,0.5,0.2,0.7,0.3,6,0.8693,0.0984,0.1,0.89159,0.8635,0.1066,0.09,0.88775
256,4,3e-05,0.1,0.1,0.1,1.0,5,3,0.3,0.5,0.2,0.5,0.4,7,0.8926,0.0656,0.09,0.91698,0.8871,0.0656,0.09,0.91533
444,4,3e-05,0.05,0.1,0.2,0.5,3,3,0.3,0.5,0.2,0.5,0.4,8,0.9013,0.0656,0.07,0.92359,0.8958,0.0656,0.07,0.92194
380,16,2e-05,0.1,0.05,0.2,1.0,5,3,0.3,0.5,0.2,0.6,0.2,9,0.8709,0.082,0.12,0.89627,0.8607,0.0984,0.11,0.88701
444,4,1e-05,0.05,0.05,0.3,1.0,3,2,0.3,0.5,0.2,0.6,0.2,10,0.8747,0.0656,0.12,0.90561,0.8644,0.0738,0.12,0.89842
