MAX_LENGTH,BATCH_SIZE,LEARNING_RATE,WEIGHT_DECAY,WARMUP_RATIO,DROPOUT,GRADIENT_CLIP,EPOCHS,EARLY_STOPPING_PATIENCE,LABEL_SMOOTHING,W_F1,W_ASR,W_FRR,trial,val_f1,val_asr,val_frr,score
512,4,5e-05,0.05,0.05,0.1,0.5,3,2,0.2,0.3,0.5,0.2,1,0.9155,0.041,0.07,0.94015
512,4,1e-05,0.1,0.05,0.3,0.5,5,2,0.1,0.3,0.5,0.2,2,0.8803,0.0656,0.11,0.90929
512,4,3e-05,0.01,0.05,0.2,0.5,3,3,0.0,0.3,0.5,0.2,3,0.891,0.0902,0.05,0.9122
512,4,5e-05,0.01,0.1,0.1,1.0,5,2,0.2,0.3,0.5,0.2,4,0.9067,0.0656,0.07,0.92521
512,4,1e-05,0.01,0.1,0.2,1.0,5,2,0.1,0.3,0.5,0.2,5,0.9088,0.0656,0.04,0.93184
512,4,5e-05,0.1,0.05,0.1,1.0,5,3,0.2,0.3,0.5,0.2,6,0.9208,0.0328,0.08,0.94384
512,4,3e-05,0.05,0.1,0.1,0.5,5,2,0.2,0.3,0.5,0.2,7,0.9142,0.0656,0.04,0.93346
512,4,1e-05,0.01,0.1,0.3,1.0,5,3,0.0,0.3,0.5,0.2,8,0.9037,0.0738,0.04,0.92621
512,4,1e-05,0.1,0.05,0.3,1.0,3,3,0.1,0.3,0.5,0.2,9,0.9014,0.0574,0.08,0.92572
512,4,5e-05,0.05,0.05,0.2,1.0,3,3,0.0,0.3,0.5,0.2,10,0.907,0.0328,0.1,0.9357
512,4,1e-05,0.05,0.05,0.3,0.5,5,3,0.0,0.3,0.5,0.2,11,0.9035,0.0574,0.05,0.93235
512,4,1e-05,0.1,0.05,0.1,1.0,3,2,0.0,0.3,0.5,0.2,12,0.8945,0.0738,0.05,0.92145
512,4,5e-05,0.1,0.05,0.3,1.0,5,3,0.1,0.3,0.5,0.2,13,0.8997,0.0738,0.05,0.92301
512,4,3e-05,0.01,0.05,0.3,0.5,3,2,0.2,0.3,0.5,0.2,14,0.9148,0.0492,0.06,0.93784
512,4,1e-05,0.1,0.05,0.2,1.0,3,2,0.2,0.3,0.5,0.2,15,0.8831,0.0984,0.07,0.90173
512,4,1e-05,0.01,0.1,0.2,1.0,5,3,0.2,0.3,0.5,0.2,16,0.8961,0.082,0.06,0.91583
512,4,1e-05,0.01,0.05,0.1,1.0,3,3,0.0,0.3,0.5,0.2,17,0.9155,0.0328,0.08,0.94225
512,4,5e-05,0.01,0.05,0.3,0.5,3,2,0.0,0.3,0.5,0.2,18,0.9101,0.0492,0.07,0.93443
512,4,1e-05,0.01,0.1,0.1,1.0,5,3,0.1,0.3,0.5,0.2,19,0.8826,0.0738,0.09,0.90988
512,4,1e-05,0.01,0.05,0.3,1.0,3,2,0.2,0.3,0.5,0.2,20,0.8965,0.0574,0.08,0.92425
512,4,1e-05,0.1,0.05,0.3,0.5,5,2,0.2,0.3,0.5,0.2,21,0.8975,0.0738,0.07,0.91835
512,4,3e-05,0.01,0.1,0.1,1.0,5,2,0.2,0.3,0.5,0.2,22,0.9086,0.0656,0.04,0.93178
512,4,3e-05,0.1,0.05,0.1,0.5,5,2,0.1,0.3,0.5,0.2,23,0.9291,0.0492,0.04,0.94613
512,4,3e-05,0.1,0.1,0.3,0.5,5,2,0.0,0.3,0.5,0.2,24,0.9139,0.0574,0.04,0.93747
512,4,3e-05,0.1,0.05,0.3,1.0,3,3,0.2,0.3,0.5,0.2,25,0.9236,0.0492,0.04,0.94448
512,4,3e-05,0.01,0.05,0.2,0.5,5,2,0.2,0.3,0.5,0.2,26,0.9236,0.0492,0.04,0.94448
512,4,5e-05,0.01,0.05,0.2,0.5,5,2,0.0,0.3,0.5,0.2,27,0.902,0.082,0.06,0.9176
512,4,5e-05,0.01,0.05,0.2,1.0,3,2,0.0,0.3,0.5,0.2,28,0.9193,0.0656,0.04,0.93499
512,4,3e-05,0.1,0.05,0.2,0.5,3,3,0.0,0.3,0.5,0.2,29,0.9214,0.0328,0.08,0.94402
512,4,3e-05,0.01,0.05,0.1,0.5,5,3,0.1,0.3,0.5,0.2,30,0.9241,0.0574,0.04,0.94053
512,4,1e-05,0.01,0.1,0.1,1.0,3,2,0.2,0.3,0.5,0.2,31,0.8973,0.0902,0.06,0.91209
512,4,3e-05,0.1,0.05,0.2,0.5,5,2,0.2,0.3,0.5,0.2,32,0.9104,0.0574,0.06,0.93242
512,4,5e-05,0.05,0.05,0.3,1.0,5,3,0.1,0.3,0.5,0.2,33,0.9347,0.0492,0.04,0.94781
